file,artist,title,lyrics
output/rdf/songfacts/Radio_Ga_Ga.ttl,Queen,Radio Ga Ga,"I'd sit alone and watch your light
My only friend through teenage nights
And everything I had to know
I heard it on my radio

You gave them all those old time stars
Through wars of worlds invaded by Mars
You made 'em laugh, you made 'em cry
You made us feel like we could fly

So don't become some background noise
A backdrop for the girls and boys
Who just don't know or just don't care
And just complain when you're not there

You had your time, you had the power
You've yet to have your finest hour
Radio, everybody!

All we hear is radio ga ga
Radio goo goo
Radio ga ga
All we hear is radio ga ga
Radio blah blah
Radio, what's new?
Radio, someone still loves you

We watch the shows, we watch the stars
On videos for hours and hours
We hardly need to use our ears
How music changes through the years

Let's hope you never leave, old friend
Like all good things, on you we depend
So stick around 'cause we might miss you
When we grow tired of all this visual

Had your time, you had the power
You've yet to have your finest hour
Radio

All we hear is radio ga ga
Radio goo goo
Radio ga ga
All we hear is radio ga ga
Radio goo goo
Radio ga ga
All we hear is radio ga ga
Radio blah blah
Radio, what's new?
Radio, someone still loves you

Loves
You
                                                  
                                                  Writer/s: Roger Taylor 

                                                   Publisher: Sony/ATV Music Publishing LLC, BMG Rights Management

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/Good_Old-Fashioned_Lover_Boy.ttl,Queen,Good Old-Fashioned Lover Boy,"I can dim the lights and sing you songs full of sad things
We can do the tango just for two
I can serenade and gently play on your heart strings
Be your Valentino just for you

Ooh love ooh loverboy
What're you doin' tonight, hey boy
Set my alarm, turn on my charm
That's because I'm a good old-fashioned lover boy

Ooh let me feel your heartbeat (grow faster, faster)
Ooh ooh can you feel my love heat, ooh
Come on and sit on my hot-seat of love
And tell me how do you feel right after-all
I'd like for you and I to go romancing
Say the word, your wish is my command

Ooh love ooh loverboy
What're you doin' tonight, hey boy
Write my letter
Feel much better
And use my fancy patter on the telephone

When I'm not with you
I think of you always
(I miss those long hot summer nights) I miss you
When I'm not with you
Think of me always
Love you, love you

Hey boy where do you get it from
Hey boy where did you go?
I learned my passion in the good old fashioned school of loverboys

Dining at the Ritz, we'll meet at nine precisely
(One two three four five six seven eight nine o' clock)
I will pay the bill, you taste the wine
Driving back in style, in my saloon will do quite nicely
Just take me back to yours that will be fine (come on and get it)

Ooh love, (there he goes again just like a good old-fashioned lover boy)
Ooh loverboy
What're you doin' tonight, hey boy
Everything's all right
Just hold on tight
That's because I'm a good old-fashioned fashioned lover boy
                                                  
                                                  
                                                  
                                                  
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/Thank_God_It's_Christmas.ttl,Queen,Thank God It's Christmas,"Oh my love 
We've had our share of tears
Oh my friends
We've had our hopes and fears
Oh my friends
It's been a long hard year
But now it's Christmas
Yes, it's Christmas
Thank God it's Christmas

The moon and stars seem awful cold and bright
Let's hope 
The snow will make this Christmas right
My friend the world 
Will share this special night
Because it's Christmas
Yes it's Christmas
Thank God it's Christmas
For 
One 
Night

Thank God it's Christmas, yeah
Thank God it's Christmas
Thank God it's Christmas
Can it be Christmas?
Let it be Christmas
Every day

Oh my love 
We live in troubled days
Oh my friend
We have the strangest ways
All my friends 
On this one day of days
Thank God it's Christmas
Yes it's Christmas
Thank God it's Christmas
For 
One 
Day

Thank God it's Christmas
Yes it's Christmas
Thank God it's Christmas
Ooh yeah
Thank God it's Christmas
Yes yes yes yes it's Christmas
Thank God it's Christmas
For 
One 
Day

Christmas, a very merry Christmas to you all
                                                  
                                                  Writer/s: Roger Taylor, Brian May 

                                                   Publisher: Sony/ATV Music Publishing LLC

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/The_Show_Must_Go_On.ttl,Queen,The Show Must Go On,"Empty spaces, what are we living for?
Abandoned places, I guess we know the score
On and on, does anybody know what we are looking for?
Another hero, another mindless crime
Behind the curtain, in the pantomime
Hold the line, does anybody want to take it anymore?

The show must go on
The show must go on
Yeah
Inside my heart is breaking
My make-up may be flaking
But my smile still stays on

Whatever happens, I'll leave it all to chance
Another heartache, another failed romance
On and on, does anybody know what we are living for?
I guess I'm learning (I'm learning), I must be warmer now
I'll soon be turning (turning, turning, turning), 'round the corner now
Outside the dawn is breaking
But inside in the dark I'm aching to be free

The show must go on
The show must go on (yeah yeah)
Ooh, inside my heart is breaking
My make-up may be flaking
But my smile still stays on

Yeah

My soul is painted like the wings of butterflies
Fairy tales of yesterday will grow but never die
I can fly my friends

The show must go on, yeah
The show must go on
I'll face it with a grin
I'm never giving in
On with the show 

Ooh, I'll top the bill, I'll overkill
I have to find the will to carry on 
(On with the show, on with the show)

Show (show must go on, go on, go on, go on, go on, go on, go on)
                                                  
                                                  Writer/s: Roger Taylor, John Deacon, Brian May, Freddie Mercury 

                                                   Publisher: Sony/ATV Music Publishing LLC, BMG Rights Management

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/Play_The_Game.ttl,Queen,Play The Game,"Open up your mind and let me step inside
Rest your weary head and let your heart decide
It's so easy when you know the rules
It's so easy
All you have to do is fall in love

Play the game, everybody play the game
Of love

When your feeling down and your resistance is low
Light another cigarette and let yourself go
This is your life, don't play hard to get
It's a free world
All you have to do is fall in love
Play the game everybody play the game of love

My game of love has just begun
Love runs from my head down to my toes
My love is pumping trough my veins
Driving me insane

Play the game, play the game
Play the game, play the game

Play the game everybody play the game of love
This is your life, don't play hard to get
It's a free world
All you have to do is fall in love
Play the game everybody play the game of love

Your life, don't play hard to get
It's a free world
All you have to do is fall in love
Play the game, play the game of love
                                                  
                                                  Writer/s: Freddie Mercury 

                                                   Publisher: Sony/ATV Music Publishing LLC

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/It's_A_Hard_Life.ttl,Queen,It's A Hard Life,"I don't want my freedom
There's no reason for living with a broken heart

This is a tricky situation
I've only got myself to blame
It's just a simple fact of life
It can happen to any one

You win, you lose
It's a chance you have to take with love
Oh yeah, I fell in love
But now you say it's over and I'm falling apart

Yeah yeah
It's a hard life
To be true lovers together
To love and live forever in each others hearts
It's a long hard fight
To learn to care for each other
To trust in one another right from the start
When you're in love

I try and mend the broken pieces
Oh, I try to fight back the tears
Oh, they say it's just a state of mind
But it happens to everyone

How it hurts (yeah) deep inside (oh yeah)
When your love has cut you down to size
Life is tough on your own
Now I'm waiting for something to fall from the skies
I'm waiting for love

Yes it's a hard life
Two lovers together
To love and live forever in each others hearts
It's a long hard fight
To learn to care for each other
To trust in one another right from the start
When you're in love

Yes it's a hard life
In a world that's filled with sorrow
There are people searching for love in every way
It's a long hard fight
But I'll always live for tomorrow
I'll look back at myself and say I did it for love (oh)
Yes I did it for love
For love
Oh I did it for love
                                                  
                                                  Writer/s: Freddie Mercury 

                                                   Publisher: Sony/ATV Music Publishing LLC

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/A_Kind_Of_Magic.ttl,Queen,A Kind Of Magic,"(It's a kind of magic)
(It's a kind of magic)
(A kind of magic)

One dream, one soul, one prize, one goal
One golden glance of what should be
(It's a kind of magic)
One shaft of light that shows the way
No mortal man can win this day

(It's a kind of magic)
The bell that rings inside your mind
It's a challenging the doors of time
(It's a kind of magic)

The waiting seems eternity
The day will dawn of sanity
It's a kind of magic
(It's a kind of magic)
There can be only one

This rage that lasts a thousand years
Will soon be gone
This flame that burns inside of me
I'm hearing secret harmonies

(It's a kind of magic)
The bell that rings inside your mind
Is challenging the doors of time
(It's a kind of magic)
(It's a kind of magic)

This rage that lasts a thousand years
Will soon be, will soon be
Will soon be gone

This is a kind of magic
There can only be one
This rage that lasts a thousand years
Will soon be gone (gone)

Magic, it's a kind of magic
It's a kind of magic
Magic, magic, magic, magic
Magic, ha ha ha ha it's magic

Ha ha
Yeah, yeah

It's a kind of magic
                                                  
                                                  Writer/s: Roger Meddows Taylor 

                                                   Publisher: Sony/ATV Music Publishing LLC, BMG Rights Management

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/Too_Much_Love_Will_Kill_You.ttl,Queen,Too Much Love Will Kill You,"I'm just the pieces of the man I used to be
Too many bitter tears are raining down on me
I'm far away from home
And I've been facing this alone
For much too long
Oh, I feel like no-one ever told the truth to me
About growing up and what a struggle it would be
In my tangled state of mind
I've been looking back to find
Where I went wrong

Too much love will kill you
If you can't make up your mind
Torn between the lover
And the love you leave behind
You're headed for disaster
'Cause you never read the signs
Too much love will kill you - every time

I'm just the shadow of the man I used to be
And it seems like there's no way out of this for me
I used to bring you sunshine
Now all I ever do is bring you down
Oh, how would it be if you were standing in my shoes
Can't you see that it's impossible to choose
No there's no making sense of it
Every way I go I'm bound to lose
Oh yes

Too much love will kill you
Just as sure as none at all
It'll drain the power that's in you
Make you plead and scream and crawl
And the pain will make you crazy
You're the victim of your crime
Too much love will kill you every time

Yes, too much love will kill you
It'll make your life a lie
Yes, too much love will kill you
And you won't understand why
You'd give your life, you'd sell your soul
But here it comes again
Too much love will kill you
In the end
In the end
                                                  
                                                  Writer/s: Elizabeth Lamers, Brian May, Frank Musker 

                                                   Publisher: Sony/ATV Music Publishing LLC, Universal Music Publishing Group

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/Don't_Stop_Me_Now.ttl,Queen,Don't Stop Me Now,"Tonight
I'm gonna have myself a real good time
I feel alive
And the world, I'll turn it inside out, yeah
And floating around
In ecstasy

So, don't stop me now, don't stop me
'Cause I'm having a good time, having a good time

I'm a shooting star leaping through the sky
Like a tiger defying the laws of gravity
I'm a racing car passing by
Like Lady Godiva
I'm gonna go go go
There's no stopping me

I'm burning through the sky, yeah
200 degrees
That's why they call me Mr. Fahrenheit
I'm travelling at the speed of light
I wanna make a supersonic man out of you

Don't stop me now
I'm having such a good time
I'm having a ball
Don't stop me now
If you wanna have a good time
Just give me a call

Don't stop me now
'Cause I'm having a good time
Don't stop me now
Yes, I'm having a good time
I don't want to stop at all, yeah

I'm a rocket ship on my way to Mars
On a collision course
I am a satellite, I'm out of control
I am a sex machine ready to reload
Like an atom bomb about to oh oh oh oh oh explode

I'm burning through the sky, yeah
200 degrees
That's why they call me Mister Fahrenheit
I'm travelling at the speed of light
I wanna make a supersonic woman of you

Don't stop me, don't stop me
Don't stop me, hey hey hey
Don't stop me, don't stop me
Ooh ooh ooh, I like it
Don't stop me, don't stop me (alright)
Have a good time, good time
Don't stop me, don't stop me
Ah, let loose, honey, alright

Oh, I'm burning through the sky, yeah
200 degrees
That's why they call me Mister Fahrenheit (hey)
I'm travelling at the speed of light
I wanna make a supersonic man out of you (hey hey)

Don't stop me now
I'm having such a good time
I'm having a ball
Don't stop me now
If you wanna have a good time (alright)
Just give me a call

Don't stop me now
'Cause I'm having a good time (hey hey)
Don't stop me now
Yes, I'm having a good time
I don't wanna stop at all

Ha da da da dah
Da da da ha
Ha da da ha ha ha
Ha da da, ha da da ahh
                                                  
                                                  Writer/s: Mentor R. Williams 

                                                   Publisher: Universal Music Publishing Group

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/Bicycle_Race.ttl,Queen,Bicycle Race,"Bicycle, bicycle, bicycle
I want to ride my bicycle, bicycle, bicycle
I want to ride my bicycle
I want to ride my bike
I want to ride my bicycle
I want to ride it where I like

You say black, I say white
You say bark, I say bite
You say shark, I say hey man
Jaws was never my scene
And I don't like Star Wars

You say Rolls, I say Royce
You say God give me a choice
You say Lord, I say Christ
I don't believe in Peter Pan
Frankenstein or Superman
All I wanna do is

Bicycle, bicycle, bicycle
I want to ride my bicycle, bicycle, bicycle
I want to ride my bicycle
I want to ride my bike
I want to ride my bicycle
I want to ride my bicycle, races are coming your way

So forget all your duties, oh yeah
Fat bottomed girls, they'll be riding today
So look out for those beauties, oh yeah

On your marks, get set, go

Bicycle race, bicycle race, bicycle race
Bicycle, bicycle, bicycle
I want to ride my bicycle, bicycle, bicycle, bicycle
(I want a) bicycle race

You say coke, I say 'caine
You say John, I say Wayne
Hot dog, I say cool it man
I don't wanna be the President of America

You say smile, I say cheese
Cartier, I say please
Income tax, I say Jesus
I don't wanna be a candidate
For Vietnam or Watergate
'Cause all I want to do is

Bicycle, bicycle, bicycle
I want to ride my bicycle, bicycle (c'mon), bicycle
I want to ride my bicycle
I want to ride my bike
I want to ride my bicycle
I want to ride it where I like
                                                  
                                                  Writer/s: Freddie Mercury 

                                                   Publisher: Sony/ATV Music Publishing LLC

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/Innuendo.ttl,Queen,Innuendo,"One two three four

Ooh ooh

While the sun hangs in the sky and the desert has sand
While the waves crash in the sea and meet the land
While there's a wind and the stars and the rainbow
Till the mountains crumble into the plain

Oh yes, we'll keep on trying
Tread that fine line
Oh, we'll keep on trying
Yeah
Just passing our time

Oh oh

While we live according to race, colour or creed
While we rule by blind madness and pure greed
Our lives dictated by tradition, superstition, false religion
Through the eons and on and on

Oh, yes, we'll keep on trying, yeah
We'll tread that fine line
Oh oh we'll keep on trying
Till the end of time
Till the end of time

Through the sorrow all through our splendor
Don't take offence at my innuendo

Duh duh duh duh duh duh duh
Duh duh duh duh duh duh duh duh duh duh duh

You can be anything you want to be
Just turn yourself into anything you think that you could ever be
Be free with your tempo, be free, be free
Surrender your ego be free, be free to yourself

Oh oh, yeah

If there's a God or any kind of justice under the sky
If there's a point, if there's a reason to live or die
Ha, if there's an answer to the questions we feel bound to ask
Show yourself destroy our fears release your mask
Oh yes, we'll keep on trying
Hey, tread that fine line
(Yeah) yeah
We'll keep on smiling, yeah
(Yeah) (yeah) (yeah)
And whatever will be will be
We'll just keep on trying
We'll just keep on trying
Till the end of time
Till the end of time
Till the end of time
                                                  
                                                  Writer/s: BRIAN MAY, FREDDIE MERCURY, JOHN DEACON, ROGER TAYLOR 

                                                   Publisher: Sony/ATV Music Publishing LLC

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/We_Are_The_Champions.ttl,Queen,We Are The Champions,"I've paid my dues
Time after time
I've done my sentence
But committed no crime
And bad mistakes 
I've made a few
I've had my share of sand kicked in my face
But I've come through

We are the champions, my friends
And we'll keep on fighting 'til the end
We are the champions
We are the champions
No time for losers
'Cause we are the champions of the world

I've taken my bows
And my curtain calls
You brought me fame and fortune and everything that goes with it
I thank you all

But it's been no bed of roses
No pleasure cruise
I consider it a challenge before the whole human race
And I ain't gonna lose

We are the champions, my friends
And we'll keep on fighting 'til the end
We are the champions
We are the champions
No time for losers
'Cause we are the champions

We are the champions, my friends
And we'll keep on fighting 'til the end, oh
We are the champions
We are the champions
No time for losers
'Cause we are the champions of the world
                                                  
                                                  Writer/s: Freddie Mercury 

                                                   Publisher: Sony/ATV Music Publishing LLC, Tratore

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/Save_Me.ttl,Queen,Save Me,"It started off so well
They said we made a perfect pair
I clothed myself in your glory and your love
How I loved you
How I cried
The years of care and loyalty
Were nothing but a sham it seems
The years belie we lived a lie
I love you till I die
Save me, save me, save me
I can't face this life alone
Save me, save me, save me
I'm naked and I'm far from home

The slate will soon be clean
I'll erase the memories
To start again with somebody new
Was it all wasted
All that love?
I hang my head and I advertise
A soul for sale or rent
I have no heart I'm cold inside
I have no real intent
Save me, save me, save me
I can't face this life alone
Save me, save me
Oh I'm naked and I'm far from home

Each night I cry I still believe the lie
I love you 'till I die
Save me, save me, save me
Yeah, save me
Oh oh save me
Don't let me face my life alone
Save me, save me oh ooh ooh
I'm naked and I'm far from home
                                                  
                                                  Writer/s: Brian May 

                                                   Publisher: Sony/ATV Music Publishing LLC

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/I_Want_To_Break_Free.ttl,Queen,I Want To Break Free,"I want to break free
I want to break free
I want to break free from your lies
You're so self satisfied I don't need you
I've got to break free
God knows, God knows I want to break free

I've fallen in love
I've fallen in love for the first time
And this time I know it's for real
I've fallen in love, yeah
God knows, God knows I've fallen in love

It's strange but it's true, yeah
I can't get over the way you love me like you do
But I have to be sure
When I walk out that door
Oh, how I want to be free, baby
Oh, how I want to be free
Oh, how I want to break free

But life still goes on
I can't get used to living without, living without
Living without you by my side
I don't want to live alone, hey
God knows, got to make it on my own

So baby can't you see
I've got to break free
I've got to break free
I want to break free, yeah
I want, I want, I want, I want to break free
                                                  
                                                  Writer/s: John Deacon 

                                                   Publisher: Sony/ATV Music Publishing LLC

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/Killer_Queen.ttl,Queen,Killer Queen,"She keeps her Moet et Chandon
In her pretty cabinet
""Let them eat cake"", she says
Just like Marie Antoinette
A built-in remedy
For Kruschev and Kennedy
At anytime an invitation
You can't decline

Caviar and cigarettes
Well versed in etiquette
Extraordinarily nice

She's a Killer Queen
Gunpowder, gelatine
Dynamite with a laser beam
Guaranteed to blow your mind
Anytime

Recommended at the price
Insatiable an appetite
Wanna try?

To avoid complications
She never kept the same address
In conversation
She spoke just like a baroness
Met a man from China
Went down to Geisha Minah
Then again incidentally
If you're that way inclined

Perfume came naturally from Paris (naturally)
For cars she couldn't care less
Fastidious and precise

She's a Killer Queen
Gunpowder, gelatine
Dynamite with a laser beam
Guaranteed to blow your mind
Anytime

Drop of a hat she's as willing as
Playful as a pussy cat
Then momentarily out of action
Temporarily out of gas
To absolutely drive you wild, wild
She's all out to get you

She's a Killer Queen
Gunpowder, gelatine
Dynamite with a laser beam
Guaranteed to blow your mind
Anytime

Recommended at the price
Insatiable an appetite
Wanna try?
You wanna try
                                                  
                                                  Writer/s: Freddie Mercury 

                                                   Publisher: Sony/ATV Music Publishing LLC

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/Princes_Of_The_Universe.ttl,Queen,Princes Of The Universe,"Here we are, born to be kings
We're the princes of the universe
Here we belong, fighting to survive
In a world with the darkest powers
Heh
And here we are, we're the princes of the universe
Here we belong, fighting for survival
We've come to be the rulers of you all

I am immortal, I have inside me blood of kings, yeah, yeah
I have no rival, no man can be my equal
Take me to the future of you all

Born to be kings, princes of the universe
Fighting and free
Got your world in my hand
I'm here for your love and I'll make my stand
We were born to be princes of the universe

No man could understand
My power is in my own hand
Ooh, ooh, ooh, ooh, people talk about you
People say you've had your day
I'm a man that will go far
Fly the moon and reach for the stars
With my sword and head held high
Got to pass the test first time, yeah
I know that people talk about me, I hear it every day
But I can prove them wrong 'cause I'm right first time
Yeah, yeah
Alright, let's go, let's go, ha ha
Yeah, watch this man fly, wooh
Bring on the girls, c'mon, c'mon, c'mon
Here we are (here we are)
Born to be kings, we're the princes of the universe
Here we belong
Born to be kings, princes of the universe
Fighting and free, got your world in my hand
I'm here for your love and I'll make my stand
We were born to be princes of the universe (universe, universe, universe)
                                                  
                                                  Writer/s: FREDDIE MERCURY 

                                                   Publisher: Sony/ATV Music Publishing LLC

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/The_Miracle.ttl,Queen,The Miracle,"Every drop of rain that falls in Sahara Desert says it all
It's a miracle
All God's creations great and small, the Golden Gate and the Taj Mahal
That's a miracle
Test tube babies being born, mothers, fathers dead and gone
It's a miracle
We're having a miracle on Earth, mother nature does it all for us
The wonders of this world go on, the Hanging Gardens of Babylon
Captain Cook and Cain and Abel, Jimi Hendrix to the Tower of Babel
It's a miracle, it's a miracle, it's a miracle (it's a miracle)

It's a miracle
The one thing we're all waiting for, is peace on Earth and end to war
It's a miracle we need, the miracle
The miracle we're all waiting for today

If every leaf on every tree, could tell a story that would be a miracle
If every child on every street, had clothes to wear and food to eat
That's a miracle
If all God's people could be free, to live in perfect harmony
It's a miracle (we're having a miracle on Earth)
Mother nature does it all for us

Open hearts and surgery, Sunday mornings with a cup of tea
Super powers always fighting
But Mona Lisa just keeps on smiling
It's a miracle, it's a miracle, it's a miracle

(The wonders of this world go on)

Well it's a miracle, it's a miracle (it's a miracle)
It's a miracle
The one thing (the one thing)
We're all waiting for (we're all waiting for)
Is peace on Earth (peace on Earth) and an end to war (end to war)
It's a miracle we need, the miracle

(The miracle)
Peace on Earth and end to war today

That time will come one day you'll see when we can all be friends
That time will come one day you'll see when we can all be friends
That time will come one day you'll see when we can all be friends
That time will come one day you'll see when we can all be friends
                                                  
                                                  Writer/s: Brian May, Freddie Mercury, John Deacon, Roger Taylor 

                                                   Publisher: Sony/ATV Music Publishing LLC

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
output/rdf/songfacts/Hammer_To_Fall.ttl,Queen,Hammer To Fall,"""Hey, hey, hey, hey, hey
Hammer To Fall""

Here we stand, here we fall
History don't care at all
Made the bed, light the light
Lady Mercy won't be home tonight

You don't waste no time at all
Don't hear the bell but you answer the call
It comes to you as to us all
Yeah, and it's time for the hammer to fall

Oh every night, and every day
A little piece of you is falling away
But lift your face the Western way
Build your

Tow the line and play their game
'Til the anesthetic covers it all
'Til one day they call your name
When it's time for the hammer to fall

Rich or poor or famous 
For your truth it's all the same
(Oh no, oh no)
Lock your door 'cause rain is pouring
Through your window pane
(Oh no)
Baby, now your trouble's all in vain, yeah

For you who grew up tall and proud
In the shadow of the mushroom cloud
Convinced our voices can't be heard
Just wanna scream it louder and louder and louder

What the hell are we fighting for?
Just surrender and it won't hurt at all
Just got time to say your prayers
Then it's time for the hammer to, hammer to fall

Yeah, to fall

Hey, hey
Hey, hey
Hey, yeah
One more time

Waiting for the hammer to fall

Give it to me one more time
                                                  
                                                  Writer/s: Brian May 

                                                   Publisher: Sony/ATV Music Publishing LLC

                                                  Lyrics licensed and provided by LyricFind
                                                  
                                                  
                                                  
                                                  "
